estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
IA;Grundy County, IA;216;248;405;384;334;303;289;283;260;235;296
IA;Guthrie County, IA;223;254;360;378;348;312;286;248;216;207;283
IA;Hamilton County, IA;276;332;630;588;657;486;384;325;313;276;427
IA;Hancock County, IA;227;382;565;403;332;273;249;210;176;177;299
IA;Hardin County, IA;343;398;615;595;528;468;446;380;355;342;447
IA;Harrison County, IA;325;328;382;446;433;380;340;305;261;258;346
IA;Henry County, IA;483;548;919;826;668;571;508;424;383;348;568
IA;Howard County, IA;191;247;448;336;284;240;242;217;196;196;260
IA;Humboldt County, IA;160;191;306;270;260;218;214;201;181;160;216
IA;Ida County, IA;134;163;216;196;184;152;153;141;125;105;157
IA;Iowa County, IA;317;366;612;531;481;432;413;431;372;336;429
IA;Jackson County, IA;520;589;940;794;714;591;586;563;479;473;625
IA;Jasper County, IA;1133;1366;1530;1389;1246;1103;972;864;756;698;1106
IA;Jefferson County, IA;343;379;713;635;528;460;445;400;358;339;460
IA;Johnson County, IA;2097;2396;3593;3350;3214;2955;2834;2617;2279;2209;2754
IA;Jones County, IA;432;475;771;706;634;562;572;537;459;467;562
IA;Keokuk County, IA;235;258;456;362;335;297;279;247;236;233;294
IA;Kossuth County, IA;322;360;528;426;364;325;303;281;257;239;341
IA;Lee County, IA;991;1149;1784;1574;1420;1258;1227;1055;1000;1079;1254
IA;Linn County, IA;4327;4932;7464;7182;6779;6204;6020;5365;4635;4427;5734
IA;Louisa County, IA;235;308;495;433;360;317;297;270;233;245;319
IA;Lucas County, IA;184;193;300;259;221;199;200;170;159;142;203
IA;Lyon County, IA;160;182;296;247;211;202;199;180;144;147;197
IA;Madison County, IA;341;403;558;543;493;453;412;377;328;298;421
IA;Mahaska County, IA;425;540;982;801;690;603;564;526;478;449;606
IA;Marion County, IA;636;719;1167;1043;934;820;775;671;581;539;789
IA;Marshall County, IA;825;1060;1510;1378;1318;1271;1196;1080;1004;952;1159
IA;Mills County, IA;299;299;365;399;368;334;323;327;309;273;330
IA;Mitchell County, IA;185;236;343;297;268;253;238;196;161;159;234
IA;Monona County, IA;251;250;342;352;331;290;266;239;213;198;273
IA;Monroe County, IA;172;189;329;296;271;229;230;207;183;186;229
IA;Montgomery County, IA;345;312;471;423;295;256;252;215;187;185;294
IA;Muscatine County, IA;809;1057;2076;1741;1408;1216;1137;1013;875;873;1221
